Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.19,0.13,0.44,26.0
0.2,0.12,0.38,26.1
0.2,0.12,0.42,26.2
0.17,0.13,0.36,26.3
0.21,0.14,0.41,26.4
0.18,0.13,0.4,26.5
0.21,0.13,0.35,26.6
0.19,0.14,0.37,26.7
0.2,0.14,0.36,26.8
0.19,0.15,0.38,26.9
0.18,0.16,0.35,27.0
0.21,0.14,0.44,27.1
0.18,0.14,0.36,27.2
0.19,0.14,0.41,27.3
0.21,0.13,0.43,27.4
0.19,0.14,0.45,27.5
0.2,0.14,0.37,27.6
0.18,0.15,0.41,27.7
0.18,0.13,0.39,27.8
0.19,0.13,0.42,27.9
0.19,0.14,0.4,28.0
0.21,0.14,0.38,28.1
0.2,0.14,0.45,28.2
0.19,0.14,0.43,28.3
0.2,0.15,0.49,28.4
0.2,0.15,0.54,28.5
0.2,0.14,0.47,28.6
0.23,0.13,0.46,28.7
0.2,0.16,0.43,28.8
0.21,0.13,0.5,28.9
0.22,0.14,0.46,29.0
0.21,0.14,0.38,29.1
0.2,0.15,0.38,29.2
0.22,0.15,0.39,29.3
0.22,0.13,0.39,29.4
0.21,0.13,0.37,29.5
0.23,0.13,0.39,29.6
0.23,0.15,0.33,29.7
0.23,0.15,0.37,29.8
0.22,0.13,0.39,29.9
0.23,0.15,0.32,30.0
0.24,0.15,0.33,30.1
0.24,0.15,0.34,30.2
0.22,0.13,0.43,30.3
0.24,0.14,0.4,30.4
0.23,0.14,0.41,30.5
0.24,0.17,0.35,30.6
0.23,0.16,0.36,30.7
0.24,0.16,0.35,30.8
0.22,0.15,0.38,30.9
0.24,0.16,0.29,31.0
0.22,0.14,0.37,31.1
0.24,0.14,0.31,31.2
0.22,0.17,0.37,31.3
0.23,0.15,0.41,31.4
0.23,0.16,0.39,31.5
0.24,0.14,0.33,31.6
0.24,0.16,0.3,31.7
0.25,0.16,0.41,31.8
0.22,0.14,0.32,31.9
0.22,0.16,0.37,32.0
0.24,0.18,0.35,32.1
0.25,0.16,0.41,32.2
0.23,0.2,0.36,32.3
0.22,0.18,0.37,32.4
0.22,0.16,0.35,32.5
0.24,0.19,0.44,32.6
0.26,0.19,0.39,32.7
0.23,0.19,0.44,32.8
0.23,0.19,0.4,32.9
0.23,0.18,0.43,33.0
0.23,0.19,0.38,33.1
0.24,0.21,0.36,33.2
0.22,0.19,0.36,33.3
0.24,0.19,0.36,33.4
0.23,0.18,0.33,33.5
0.23,0.17,0.33,33.6
0.25,0.2,0.28,33.7
0.23,0.21,0.36,33.8
0.24,0.2,0.24,33.9
0.22,0.19,0.34,34.0
0.25,0.19,0.27,34.1
0.27,0.19,0.3,34.2
0.23,0.19,0.26,34.3
0.25,0.19,0.27,34.4
0.25,0.18,0.26,34.5
0.26,0.19,0.28,34.6
0.27,0.18,0.26,34.7
0.23,0.19,0.29,34.8
0.26,0.19,0.33,34.9
0.24,0.19,0.28,35.0
0.23,0.21,0.3,35.1
0.23,0.21,0.26,35.2
0.26,0.2,0.31,35.3
0.24,0.19,0.3,35.4
0.25,0.18,0.26,35.5
0.24,0.2,0.29,35.6
0.24,0.17,0.28,35.7
0.24,0.18,0.27,35.8
0.23,0.2,0.26,35.9
0.25,0.19,0.26,36.0
0.27,0.19,0.3,36.1
0.25,0.21,0.3,36.2
0.26,0.18,0.29,36.3
0.25,0.2,0.26,36.4
0.25,0.21,0.3,36.5
0.24,0.18,0.28,36.6
0.25,0.2,0.26,36.7
0.25,0.18,0.29,36.8
0.25,0.21,0.29,36.9
0.26,0.2,0.26,37.0
0.3,0.21,0.31,37.1
0.25,0.18,0.31,37.2
