car_name,speed,safe_distance,reaction_time,stopping_time
AggressiveCar1,10.0,13.33,0.3,1.33
AggressiveCar2,10.0,14.2,0.3,1.42
AggressiveCar3,7.0,9.59,0.3,1.37
AggressiveCar4,6.7,9.79,0.3,1.46
AggressiveCar5,1.3,2.0,0.3,1.54
AggressiveCar6,1.0,1.65,0.3,1.65
AggressiveCar1,10.0,13.4,0.3,1.34
AggressiveCar2,10.0,13.63,0.3,1.36
AggressiveCar3,7.1,10.18,0.3,1.43
AggressiveCar4,6.8,9.28,0.3,1.36
AggressiveCar5,1.4,2.18,0.3,1.56
AggressiveCar6,1.1,1.78,0.3,1.62
AggressiveCar1,10.0,13.63,0.3,1.36
AggressiveCar2,10.0,13.41,0.3,1.34
AggressiveCar3,7.2,9.95,0.3,1.38
AggressiveCar4,6.9,10.21,0.3,1.48
AggressiveCar5,1.5,2.29,0.3,1.53
AggressiveCar6,1.2,2.03,0.3,1.69
AggressiveCar1,10.0,14.3,0.3,1.43
AggressiveCar2,10.0,14.58,0.3,1.46
AggressiveCar3,7.3,10.28,0.3,1.41
AggressiveCar4,7.0,10.2,0.3,1.46
AggressiveCar5,1.6,2.41,0.3,1.51
AggressiveCar6,1.3,2.04,0.3,1.57
AggressiveCar1,10.0,14.74,0.3,1.47
AggressiveCar2,10.0,13.66,0.3,1.37
AggressiveCar3,7.4,10.86,0.3,1.47
AggressiveCar4,7.1,9.61,0.3,1.35
AggressiveCar5,1.7,2.52,0.3,1.48
AggressiveCar6,1.4,2.26,0.3,1.61
AggressiveCar1,10.0,14.61,0.3,1.46
AggressiveCar2,10.0,14.65,0.3,1.47
AggressiveCar3,7.5,10.1,0.3,1.35
AggressiveCar4,7.2,10.42,0.3,1.45
AggressiveCar5,1.8,2.66,0.3,1.48
AggressiveCar6,1.5,2.43,0.3,1.62
AggressiveCar1,10.0,13.45,0.3,1.34
AggressiveCar2,10.0,14.61,0.3,1.46
AggressiveCar3,7.6,10.81,0.3,1.42
AggressiveCar4,7.3,10.14,0.3,1.39
AggressiveCar5,1.9,2.84,0.3,1.49
AggressiveCar6,1.6,2.53,0.3,1.58
AggressiveCar1,10.0,14.12,0.3,1.41
AggressiveCar2,10.0,13.77,0.3,1.38
AggressiveCar3,7.7,10.93,0.3,1.42
AggressiveCar4,7.4,10.43,0.3,1.41
AggressiveCar5,2.0,2.97,0.3,1.49
AggressiveCar6,1.7,2.7,0.3,1.59
AggressiveCar1,10.0,13.87,0.3,1.39
AggressiveCar2,10.0,14.59,0.3,1.46
AggressiveCar3,7.8,11.58,0.3,1.48
AggressiveCar4,7.5,11.03,0.3,1.47
AggressiveCar5,2.1,3.07,0.3,1.46
AggressiveCar6,1.8,2.89,0.3,1.61
AggressiveCar1,10.0,14.57,0.3,1.46
AggressiveCar2,10.0,14.76,0.3,1.48
AggressiveCar3,7.9,11.2,0.3,1.42
AggressiveCar4,7.6,11.3,0.3,1.49
AggressiveCar5,2.2,3.27,0.3,1.49
AggressiveCar6,1.9,2.99,0.3,1.57
AggressiveCar1,10.0,14.42,0.3,1.44
AggressiveCar2,10.0,14.23,0.3,1.42
AggressiveCar3,8.0,11.18,0.3,1.4
AggressiveCar4,7.7,11.11,0.3,1.44
AggressiveCar5,2.3,3.35,0.3,1.46
AggressiveCar6,2.0,3.15,0.3,1.57
AggressiveCar1,10.0,14.17,0.3,1.42
AggressiveCar2,10.0,13.57,0.3,1.36
AggressiveCar3,8.1,11.91,0.3,1.47
AggressiveCar4,7.8,11.49,0.3,1.47
AggressiveCar5,2.4,3.54,0.3,1.48
AggressiveCar6,2.1,3.17,0.3,1.51
AggressiveCar1,10.0,13.62,0.3,1.36
AggressiveCar2,10.0,14.36,0.3,1.44
AggressiveCar3,8.2,11.08,0.3,1.35
AggressiveCar4,7.9,11.56,0.3,1.46
AggressiveCar5,2.5,3.66,0.3,1.46
AggressiveCar6,2.2,3.4,0.3,1.55
AggressiveCar1,10.0,14.42,0.3,1.44
AggressiveCar2,10.0,13.52,0.3,1.35
AggressiveCar3,8.3,11.49,0.3,1.38
AggressiveCar4,8.0,11.5,0.3,1.44
AggressiveCar5,2.6,3.89,0.3,1.5
AggressiveCar6,2.3,3.6,0.3,1.57
AggressiveCar1,10.0,14.65,0.3,1.47
AggressiveCar2,10.0,13.33,0.3,1.33
AggressiveCar3,8.4,11.8,0.3,1.4
AggressiveCar4,8.1,11.56,0.3,1.43
AggressiveCar5,2.7,4.08,0.3,1.51
AggressiveCar6,2.4,3.49,0.3,1.45
AggressiveCar1,10.0,14.29,0.3,1.43
AggressiveCar2,10.0,14.14,0.3,1.41
AggressiveCar3,8.5,12.31,0.3,1.45
AggressiveCar4,8.2,11.33,0.3,1.38
AggressiveCar5,2.8,4.25,0.3,1.52
AggressiveCar6,2.5,3.9,0.3,1.56
AggressiveCar1,10.0,14.05,0.3,1.41
AggressiveCar2,10.0,14.43,0.3,1.44
AggressiveCar3,8.6,12.24,0.3,1.42
AggressiveCar4,8.3,12.24,0.3,1.47
