car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,3.28,12.33,0.33,8.4
AggressiveCar2,3.89,14.6,0.52,8.4
AggressiveCar3,0.0,1.89,0.58,1.3
AggressiveCar4,0.0,1.59,0.35,1.3
AggressiveCar1,4.3,16.33,0.65,8.5
AggressiveCar2,3.85,14.62,0.34,8.5
AggressiveCar3,0.0,1.89,0.58,1.4
AggressiveCar4,0.0,1.59,0.35,1.4
AggressiveCar1,5.2,19.98,0.47,8.6
AggressiveCar2,5.83,22.41,0.57,8.6
AggressiveCar3,0.0,1.89,0.58,1.5
AggressiveCar4,0.0,1.59,0.35,1.5
AggressiveCar1,5.46,21.22,0.53,8.7
AggressiveCar2,5.64,21.95,0.72,8.7
AggressiveCar3,0.0,1.89,0.58,1.6
AggressiveCar4,0.0,1.59,0.35,1.6
AggressiveCar1,4.96,19.51,0.55,8.8
AggressiveCar2,4.61,18.15,0.48,8.8
AggressiveCar3,0.0,1.89,0.58,1.7
AggressiveCar4,0.0,1.59,0.35,1.7
AggressiveCar1,3.79,15.09,0.46,8.9
AggressiveCar2,5.69,22.62,0.59,8.9
AggressiveCar3,0.0,1.89,0.58,1.8
AggressiveCar4,0.0,1.59,0.35,1.8
AggressiveCar1,5.39,21.69,0.54,9.0
AggressiveCar2,4.72,19.0,0.69,9.0
AggressiveCar3,11.63,0.52,0.35,1.9
AggressiveCar4,19.01,0.85,0.62,1.9
AggressiveCar1,7.32,29.76,0.73,9.1
AggressiveCar2,4.35,17.7,0.47,9.1
AggressiveCar3,8.61,0.77,0.46,2.0
AggressiveCar4,10.85,0.97,0.56,2.0
AggressiveCar1,3.69,15.17,0.43,9.2
AggressiveCar2,4.3,17.67,0.34,9.2
AggressiveCar3,9.4,1.26,0.57,2.1
AggressiveCar4,10.22,1.37,0.62,2.1
AggressiveCar1,3.91,16.24,0.53,9.3
AggressiveCar2,4.38,18.21,0.53,9.3
AggressiveCar3,8.28,1.48,0.64,2.2
AggressiveCar4,6.04,1.08,0.46,2.2
AggressiveCar1,4.64,19.51,0.63,9.4
AggressiveCar2,3.91,16.41,0.31,9.4
AggressiveCar3,7.7,1.72,0.66,2.3
AggressiveCar4,8.63,1.93,0.68,2.3
AggressiveCar1,4.23,17.98,0.33,9.5
AggressiveCar2,5.35,22.7,0.63,9.5
AggressiveCar3,5.85,1.57,0.44,2.4
AggressiveCar4,6.93,1.86,0.45,2.4
AggressiveCar1,5.1,21.87,0.44,9.6
AggressiveCar2,4.65,19.97,0.49,9.6
AggressiveCar3,5.72,1.79,0.53,2.5
AggressiveCar4,5.34,1.67,0.55,2.5
AggressiveCar1,6.23,27.01,0.66,9.7
AggressiveCar2,5.58,24.18,0.71,9.7
AggressiveCar3,6.79,2.43,0.67,2.6
AggressiveCar4,8.08,2.89,0.68,2.6
AggressiveCar1,3.48,15.25,0.37,9.8
AggressiveCar2,4.41,19.31,0.57,9.8
AggressiveCar3,4.8,1.93,0.54,2.7
AggressiveCar4,5.29,2.13,0.62,2.7
AggressiveCar1,4.28,18.93,0.38,9.9
AggressiveCar2,4.92,21.76,0.63,9.9
AggressiveCar3,7.83,3.5,0.64,2.8
AggressiveCar4,6.38,2.85,0.5,2.8
AggressiveCar1,3.87,17.28,0.52,10.0
AggressiveCar2,4.14,18.5,0.34,10.0
AggressiveCar3,4.62,2.27,0.46,2.9
AggressiveCar4,5.06,2.49,0.42,2.9
AggressiveCar1,3.25,14.51,0.41,10.1
AggressiveCar2,3.0,13.41,0.31,10.1
AggressiveCar3,6.49,3.48,0.67,3.0
AggressiveCar4,6.32,3.39,0.72,3.0
AggressiveCar1,5.41,24.2,0.71,10.2
AggressiveCar2,4.96,22.18,0.58,10.2
AggressiveCar3,5.01,2.91,0.7,3.1
AggressiveCar4,4.22,2.45,0.5,3.1
AggressiveCar1,6.13,27.42,0.67,10.3
AggressiveCar2,4.56,20.4,0.4,10.3
AggressiveCar3,5.11,3.2,0.67,3.2
AggressiveCar4,3.58,2.24,0.33,3.2
AggressiveCar1,4.98,22.24,0.51,10.4
AggressiveCar2,6.0,26.8,0.56,10.4
AggressiveCar3,3.86,2.59,0.39,3.3
AggressiveCar4,7.74,5.19,0.73,3.3
AggressiveCar1,5.87,26.24,0.56,10.5
AggressiveCar2,3.64,16.29,0.37,10.5
AggressiveCar3,5.49,3.93,0.72,3.4
AggressiveCar4,5.56,3.98,0.64,3.4
AggressiveCar1,5.1,22.81,0.61,10.6
AggressiveCar2,3.61,16.15,0.41,10.6
AggressiveCar3,4.24,3.22,0.31,3.5
AggressiveCar4,4.24,3.22,0.53,3.5
AggressiveCar1,5.56,24.84,0.53,10.7
AggressiveCar2,3.62,16.2,0.31,10.7
AggressiveCar3,5.52,4.44,0.48,3.6
AggressiveCar4,4.59,3.69,0.41,3.6
AggressiveCar1,4.49,20.08,0.72,10.8
AggressiveCar2,4.17,18.64,0.36,10.8
AggressiveCar3,4.63,3.93,0.44,3.7
AggressiveCar4,4.16,3.53,0.47,3.7
AggressiveCar1,4.65,20.8,0.36,10.9
AggressiveCar2,5.62,25.12,0.54,10.9
